
# e groceteria,Food Service Establishment 1,Vancouver - City Centre,1308 Burrard St Vancouver BC V6Z 2B7 Canada,(604) 559-6863,/Facility/Details/db951079-e67c-45ee-b239-55519e6ba4d8
#1 Orchard,Retail Food Store,Vancouver - City Centre,1689 Johnston St Vancouver BC V6H 3R9 Canada,(604) 728-5449,/Facility/Details/29e9ebcd-7cbd-4fd5-8c57-d5f613627819
#9 Restaurant,Food Service Establishment 1,Richmond,812-5300 No. 3 Road Richmond BC V6X 2X9 Canada,(604) 278-7700,/Facility/Details/6aa4eb7d-17ac-4956-bfc6-bd54a5999724
Big Brother Produce,Non-processor,Vancouver - Downtown Eastside,100-456 Prior St Vancouver BC V6A 2G3 Canada,(778) 891-3452,/Facility/Details/0ba1eba3-8d5c-4698-bb04-dae78a070953
Big Chef Restaurant,Food Service Establishment 1,Richmond,1060-8580 Alexandra Road Richmond BC V6X 4B3 Canada,(604) 207-0386,/Facility/Details/1ead25e4-3380-4520-a5d7-d70d54fe7c04
Big Crazy Supermarket dba BIMI Enterprises Inc.,Retail Food Store,Richmond,4955 No. 3 Road Richmond BC V6X 2C3 Canada,(604) 231-8928,/Facility/Details/3eccc2e2-10d9-4162-84fd-c6062008c6c1
Big Dogs Street Hots - Commissary,Processor,Vancouver - Downtown Eastside,1007 E Cordova St Vancouver BC V6A 1M8 Canada,(604) 675-6333,/Facility/Details/ac89b2da-859d-4051-b6cb-d2004c8d4849
Big Finger Tea Room,Food Service Establishment 1,Richmond,180-4611 No. 6 Road Richmond BC V6V 2L3 Canada,(604) 233-0332,/Facility/Details/c63331cb-9060-4dba-ada0-132bbaeff710
Big Johnny's Pizza House,Food Service Establishment 1,Vancouver - Westside,2828 W 4th Ave Vancouver BC V6K 1R2 Canada,(604) 737-8211,/Facility/Details/ff5bd871-9bb1-11d3-baa8-005004ae1145
Big Mountain Foods Ltd,Processor,Vancouver - South,307-8475 Ontario St Vancouver BC V5X 3E8 Canada,604-325-7853,/Facility/Details/f17779d0-31fd-4778-a9e2-cc182b74c969
Big Orange,Food Service Establishment 1,City of North Vancouver,28-935 Marine Drive North Vancouver BC V7P 1S3 Canada,(778) 688-7958,/Facility/Details/b75aa64d-04f7-442d-abb8-abb15850cd92
Big Orange,Food Service Establishment 1,District of West Vancouver,2002 Park Royal S West Vancouver BC V7T 2W4 Canada,778-279-0218,/Facility/Details/6758b695-e42b-44ad-8bda-8eb45dfec188
Big Orange,Food Service Establishment 1,Vancouver - City Centre,#303-595 Burrard St Vancouver BC V7X 1J1 Canada,(778) 688-7958,/Facility/Details/d64dbbe7-080b-4868-a610-1803256c1469
Big Rock Brewery - Production,Processor,Vancouver - Midtown,310 4 W Vancouver BC V5Y 1G9 Canada,,/Facility/Details/fa3568c8-1257-47a0-8d94-6d8492b4557e
Big Rock Cafe,Food Service Establishment 1,Richmond,5540 Hollybridge Way Richmond BC V7C 4N3 Canada,(604) 278-1722,/Facility/Details/ac60f89e-e8b3-44fd-b0e2-289e8261989f
Big Rock Urban Brewery - Tasting Room,Food Service Establishment 1,Vancouver - Midtown,310 W 4th Ave Vancouver BC V5Y 1H3 Canada,604-706-8311,/Facility/Details/8d858d1e-428f-4467-83c1-e9eb8308521b
Big Rock Urban Eatery,Food Service Establishment 1,Vancouver - Midtown,310 W 4th Ave Vancouver BC V5Y 1G9 Canada,(604) 708-8311,/Facility/Details/55893ced-d1d1-40a7-b864-84c38a2cc776
Big Smoke Burger,Food Service Establishment 1,Vancouver - City Centre,500 W Broadway Vancouver BC V5Z 1E9 Canada,(604) 687-2334,/Facility/Details/e9a26ccd-8d9d-4e8a-9ba8-ba0eee3a1272
Bigsby The Bakehouse,Food Service Establishment 1,Vancouver - Westside,4894 MacKenzie St Vancouver BC V6L 2R6 Canada,(604) 267-2253,/Facility/Details/bcf68070-f1df-4f37-ad65-f1e5d8fe4b33
BIIRU - BIN,Food Service Establishment 1,Vancouver - City Centre,3093 Oak St Vancouver BC V6H 2K8 Canada,(778) 885-0034,/Facility/Details/4e1e8efe-8583-4028-b323-74b695b42f36
Bill Beauty,Retail Food Store,Richmond,8-6390 No. 3 Road Richmond BC V6Y 2B3 Canada,(604) 214-9880,/Facility/Details/0047d849-7f00-4d4d-8b3b-6e1d06866a56
Bill's Confectionery,Retail Food Store,Vancouver - Downtown Eastside,200 Carrall Vancouver BC V6B 2J1 Canada,604-684-9975,/Facility/Details/96285751-9e77-47a1-b98a-8105b9e4ac7f
Billy Bishop Canadian Legion #176,Food Service Establishment 1,Vancouver - Westside,1407 Laburnum St Vancouver BC V6J 3W4 Canada,(604) 568-4130,/Facility/Details/b211eac9-0fc0-4d9d-a47d-657eb92ae0a2
Biltmore Cabaret,Food Service Establishment 1,Vancouver - Midtown,2755 Prince Edward Vancouver BC V5T 0A9 Canada,(604) 676-0541,/Facility/Details/9db0757a-bedf-4a56-a024-4ec8515c3352
Bimini's Cold Beer & Wine Store,Retail Food Store,Vancouver - Westside,2018 W 4th Ave Vancouver BC V6J 1M9 Canada,,/Facility/Details/8815579e-9c50-11d3-baa9-005004ae1145
Bin 941 Tapas Parlour,Food Service Establishment 1,Vancouver - City Centre,941 Davie St Vancouver BC V6Z 1B9 Canada,(604) 683-1246,/Facility/Details/f7be41ff-5697-447b-8ad0-951894572cc1
Biota Fermentation,Processor,Vancouver - Midtown,419 Industrial Ave Vancouver BC V6A 2P3 Canada,(778) 928-4740,/Facility/Details/3c0992e3-2e77-4960-9f15-22b072b348f3
Birchwood - KITCHEN,Food Service Establishment 2,Vancouver - Midtown,4002 Maple Vancouver BC V5W 3A9 Canada,604-733-8276,/Facility/Details/8aaf67a6-172b-4298-8daf-54af5c8d289f
Birken Lakeside Grille,Mobile Food Service (Type 3),Pemberton,9179 Pemberton Portage Rd Pemberton BC V0N 2L0 Canada,,/Facility/Details/f1442171-2632-4f3a-934e-0b360df5d5a2
Bishops Restaurant,Food Service Establishment 1,Vancouver - Westside,2183 W 4th Ave Vancouver BC V6K 1N7 Canada,(604) 738-2025,/Facility/Details/ff5bd271-9bb1-11d3-baa8-005004ae1145
Bisla Sweets Meat Shop,Retail Food Store,Squamish,38132 2nd Ave Squamish BC V8B 0C4 Canada,(604) 567-5552,/Facility/Details/b26ae775-c402-4af9-a213-2e8c82b415cc
Bisla Sweets Restaurant,Food Service Establishment 1,Squamish,38132 2nd Ave Squamish BC Canada,(604) 567-5552,/Facility/Details/7c8dc78b-7a43-4966-a41e-6c8ee4333ff5
Bistro Sakana Japanese Restaurant,Food Service Establishment 1,Vancouver - City Centre,#101-1123 Mainland St Vancouver BC V6B 2S2 Canada,(604) 633-1280,/Facility/Details/f5ca865c-a60a-4313-aa49-a6c974cc60eb
Bistro Wagon Rouge,Food Service Establishment 1,Vancouver - Downtown Eastside,1869 Powell Vancouver BC V5L 1H8 Canada,(604) 251-4070,/Facility/Details/3acba4e9-3bff-478c-810a-6f27f2446348
Bite (Kiosk),Food Service Establishment 1,City of North Vancouver,123 Carrie Cates Ct North Vancouver BC V7M 3K7 Canada,(604) 771-0301,/Facility/Details/4422d312-4197-4563-8b83-191027146a8b
Bitter Tasting Room,Food Service Establishment 1,Vancouver - Downtown Eastside,16 W Hastings St Vancouver BC V6B 1G6 Canada,(604) 558-4658,/Facility/Details/98e7be54-1ac7-4688-9136-d6169046bf62
Bj And Sons Tobacconists,Retail Food Store,Vancouver - City Centre,105-1100 Melville Vancouver BC V6E 4A6 Canada,,/Facility/Details/53a19dc0-f734-4d57-b1dc-02a5d9cab7b4
Bjorn Bar Bakery Ltd.,Food Service Establishment 1,District of North Vancouver,102-3053 Edgemont Blvd. North Vancouver BC Canada,(604) 345-6455,/Facility/Details/2561c150-c64f-4db8-a205-0f7558b8a8d4
BKH Jerky,Food Service Establishment 1,Vancouver - Midtown,3201 Fraser St Vancouver BC V5V 4B8 Canada,(604) 875-8688,/Facility/Details/4a2d44d5-8b25-4565-9eb6-f2276630f079
Black and Blue Restaurant,Food Service Establishment 1,Vancouver - City Centre,1032 Alberni St Vancouver BC V6E 1A3 Canada,(604) 637-0777,/Facility/Details/d6cf159b-7f31-429f-af47-f68118fecf53
Black and Blue Restaurant - Rooftop,Food Service Establishment 1,Vancouver - City Centre,1032 Alberni St Vancouver BC V6E 1A3 Canada,604-637-0777,/Facility/Details/c51561fb-04c5-41c3-aa26-3683272665d0
Black Bean Roaster,Food Service Establishment 1,Gibsons,467 Marine Drive Gibsons BC V0N 1V1 Canada,(604) 886-1716,/Facility/Details/cd6a36de-9898-4471-8c0d-2772c1c11d3e
Black Bear Neighbourhood Pub,Food Service Establishment 1,District of North Vancouver,1177 Lynn Valley Road North Vancouver BC V7J 2A1 Canada,990-8880,/Facility/Details/8e7bc94a-8e5c-46ff-8971-c9d809d85ab9
Black Echo Coffee,Food Service Establishment 1,Vancouver - City Centre,1144 Mainland St Vancouver BC V6B 2T9 Canada,(604) 806-6223,/Facility/Details/a1d2093c-5726-4a8d-9f01-4577aa8bece5
Black Forest Delicatessen,Food Service Establishment 1,District of West Vancouver,716 Main Street Park Royal West Vancouver BC V7T 0A5 Canada,604-926-3462,/Facility/Details/0f0cf043-e2aa-4d61-8ba8-efbc0b7ed01b
Black Forest meats $ Sausage Ltd. - Processing Plant,Processor,District of North Vancouver,312-316 Harbour Ave. North Vancouver V7J 2E9,,/Facility/Details/77163309-f931-4320-aca4-64730ea39d5f
Black Forest Meats & Sausage Ltd.,Food Service Establishment 1,District of North Vancouver,312-316 Harbour Avenue North Vancouver BC V7J 2E9 Canada,604-980-1625,/Facility/Details/56352bea-75c0-450c-b2c8-6d694682fb32
Black Frog Eatery,Food Service Establishment 1,Vancouver - Downtown Eastside,108 Cambie St Vancouver BC V6B 2M8 Canada,(604) 602-0527,/Facility/Details/6e47bfc2-0d42-4310-a9b8-f4e2f8d0240a
Black Gold Lodge Fish Processing,Non-processor,Dawsons Landing,Goose Bay Rivers Inlet BC Canada,,/Facility/Details/3951359a-7885-4596-9931-6652f5487418
Black Gold Lodge Kitchen,Food Service Establishment 1,Dawsons Landing,Goose Bay Rivers Inlet BC Canada,,/Facility/Details/50e5baf9-137b-4273-8939-96af47f611af
Black Kettle Brewing,Processor,City of North Vancouver,105 & 106-720 Copping Street North Vancouver BC V7M 3G3 Canada,,/Facility/Details/ec2d4ba7-5e7b-4c4c-bd06-14cb828bc41f
Black Kettle Brewing Inc.,Food Service Establishment 1,City of North Vancouver,106-720 Copping Street North Vancouver BC V7M 3G6 Canada,604-537-8959,/Facility/Details/7adb74ed-796a-4833-839f-123a3db90786
Black Pearl Cafe,Food Service Establishment 1,Vancouver - Westside,#B8-5728 University Vancouver BC V6T 1K6 Canada,(604) 729-3881,/Facility/Details/f107bcf9-aa65-4b4d-95ff-803fcea4288d
Black Point Store,Retail Food Store,Powell River,9939 Hwy 101 Powell River BC V8A 0K1 Canada,(604) 487-9073,/Facility/Details/17b0d705-c1ca-4cd0-9d39-459aaad0727f
Black Point Store - Deli,Food Service Establishment 1,Powell River,9939 Hwy 101 Powell River BC V8A 0K1 Canada,(604) 487-9073,/Facility/Details/485aa8c4-4a0d-4ba7-81d5-e189b13da4a8
Black Rice Izakaya,Food Service Establishment 1,Vancouver - Downtown Eastside,782 Cambie St Vancouver BC V6B 2P2 Canada,(604) 788-6283,/Facility/Details/79156f34-7ae4-4582-a092-09636d4bbae0
Black Rook Bakehouse,Food Service Establishment 1,Vancouver - North East,2474 E Hastings Vancouver BC V3K 1Z1 Canada,604-563-5094,/Facility/Details/a1bfefcb-5f90-444f-98e8-2c7b21260f7b
Black Squirrel Restaurant,Food Service Establishment 1,Pemberton,1730/1800 Pemberton Airport Rd. Pemberton BC V0N 2L0 Canada,(604) 894-6197,/Facility/Details/ba53ea35-3dcc-4603-bf39-85b4990aafa0
Black Tusk Jerky,Retail Food Store,District of North Vancouver,115-2433 Dollarton Hwy North Vancouver BC Canada,778-7917,/Facility/Details/79979008-5cda-4632-b44d-347b792b22f1
Black Tusk Trading Company Ltd,Non-processor,Vancouver - Downtown Eastside,652 Evans Vancouver BC V6A 2K9 Canada,,/Facility/Details/589d3664-97f8-4df0-9830-de1c663227f9
Blackberry Hill,Processor,District of West Vancouver,2454 Dundarave Lane West Vancouver BC V7V 1L1 Canada,(778) 899-7437,/Facility/Details/3af288fc-0609-4ae4-a051-f3cac5fae150
Blackbird Bakery,Food Service Establishment 1,Pemberton,7424 Frontier St Pemberton BC V0N 2L1 Canada,(604) 894-6226,/Facility/Details/e4d024c9-2605-46c5-b6cb-57f54e3283c6
Blackfish Pub,Food Service Establishment 1,Gibsons,966 Venture Way Gibsons BC V0N 1V7 Canada,(604) 886-6682,/Facility/Details/592d752c-b51f-4a13-9b51-7b717db82142
Black's Original Ristorante & Pub,Food Service Establishment 1,Whistler,7-4340 Sundial Crescent Whistler BC V0N 1B4 Canada,(604) 932-6408,/Facility/Details/1bc2c7cf-63cd-4b87-b96e-dae19831aabf
Blaq Sheep Fine Coffee & Grazing House,Food Service Establishment 1,Vancouver - Westside,5601 Dunbar St Vancouver BC V6N 1W5 Canada,(604) 261-8188,/Facility/Details/bb2c71ad-fc4a-4aa5-bd36-d9b990cd343f
Blarney Stone Irish Tavern Ltd,Food Service Establishment 1,Vancouver - Downtown Eastside,216 Carrall St Vancouver BC V6B 2J1 Canada,(604) 687-4322,/Facility/Details/91174089-f653-43d0-bdbd-d2dcf5df1d8e
Blenheim Lodge - KITCHEN,Food Service Establishment 2,Vancouver - Westside,3263 Blenheim St Vancouver BC V6L 2X7 Canada,(604) 732-8717,/Facility/Details/dcb3efab-1b2c-4588-a623-c8a2494ebf63
Blenz - Alma,Food Service Establishment 1,Vancouver - Westside,3698 W 4th Ave Vancouver BC V6R 1H1 Canada,(604) 738-2562,/Facility/Details/f47752ad-c23e-4ff9-a6dd-af61bf92f1ad
Blenz - Falsecreek,Food Service Establishment 1,Vancouver - Midtown,97 W 2nd Ave Vancouver BC V5Y 1B1 Canada,(604) 620-3399,/Facility/Details/d9a62251-ff9a-4325-a5f1-6141623d9777
Blenz Coffee,Food Service Establishment 1,District of West Vancouver,6334 Bay Street West Vancouver BC V7W 2G9 Canada,604-922-3776,/Facility/Details/a0f27cf0-d5be-4ed5-baa9-3cefd4415d46
Blenz Coffee,Food Service Establishment 1,Vancouver - Midtown,1120 E 7th Ave Vancouver BC V5T 4V5 Canada,(604) 725-8881,/Facility/Details/1df8d52c-1cbc-4e99-9674-0ea8f0607b57
Blenz Coffee,Food Service Establishment 1,Vancouver - City Centre,1201 Robson St Vancouver BC V6E 1C3 Canada,(604) 699-1999,/Facility/Details/0fd5b436-9af1-4b24-9c6f-6dcb160581b8
Blenz Coffee,Food Service Establishment 1,Whistler,101-4338 Main St Whistler BC V0N 1B4 Canada,(604) 905-5475,/Facility/Details/2f1300fd-9e1a-409c-a004-8c98982400d3
Blenz Coffee,Food Service Establishment 1,Vancouver - Downtown Eastside,2470 Commercial Dr Vancouver BC V5N 4B9 Canada,(604) 876-6616,/Facility/Details/d7b26392-f8f7-4c2d-9ec6-f352502a50c0
Blenz Coffee,Food Service Establishment 1,Vancouver - Westside,2502 Maple St Vancouver BC V6J 1Z2 Canada,(604) 736-2339,/Facility/Details/c9b73694-3308-4e63-b7b6-f6b25501fea1
Blenz Coffee,Food Service Establishment 1,Vancouver - Downtown Eastside,603 Abbott St Vancouver BC V6B 0J4 Canada,(604) 568-6111,/Facility/Details/cfae1bb2-0eb1-4df0-9359-fb7a59c88ec8
Blenz Coffee,Food Service Establishment 1,Vancouver - City Centre,521 W Broadway Vancouver BC V5Z 1E6 Canada,(604) 876-4488,/Facility/Details/182ec5e9-431d-4260-aa64-fd7861ae7a81
Blenz Coffee - Burrard,Food Service Establishment 1,Vancouver - City Centre,401 Burrard St Vancouver BC V6C 3R2 Canada,(604) 684-7000,/Facility/Details/4ffd3e26-fbbd-4d66-8bb6-c057da1c6b9c
Blenz Coffee - Burrard,Food Service Establishment 1,Vancouver - City Centre,#108-550 Burrard St Vancouver BC V7T 1V7 Canada,(604) 687-6177,/Facility/Details/765fdd9c-d652-4604-b5a8-d4203fac3f9e
Blenz Coffee - Davie,Food Service Establishment 1,Vancouver - City Centre,700 Davie St Vancouver BC V6Z 1M6 Canada,(604) 559-1700,/Facility/Details/44a99826-4da7-4811-bd25-970ee62913b3
Blenz Coffee - Davie,Food Service Establishment 1,Vancouver - City Centre,1203 Davie St Vancouver BC V6E 1N4 Canada,(604) 568-4428,/Facility/Details/63a0a60c-309e-4219-b681-62029380766a
Blenz Coffee - Denman,Food Service Establishment 1,Vancouver - City Centre,935 Denman St Vancouver BC V6G 2L9 Canada,(604) 568-2806,/Facility/Details/012ad219-0377-4aec-9797-d46963a48158
Blenz Coffee - Fairview,Food Service Establishment 1,Vancouver - City Centre,695 W Broadway Vancouver BC V5Z 1G6 Canada,(604) 568-9664,/Facility/Details/e9cc018a-97ac-4bf8-be69-149dfb14f270
Blenz Coffee - Granville,Food Service Establishment 1,Vancouver - City Centre,999 Granville St Vancouver BC V6Z 1L3 Canada,(604) 780-6310,/Facility/Details/4abd2f56-891d-4143-b9a8-a6d31beda934
Blenz Coffee - Library Square,Food Service Establishment 1,Vancouver - City Centre,#205-345 Robson Vancouver BC V6B 6B3 Canada,(604) 647-0878,/Facility/Details/1e2d0c36-1767-4f0e-b7d0-0c338ad9f2a8
Blenz Coffee - Main St,Food Service Establishment 1,Vancouver - Midtown,4198 Main St Vancouver BC V5V 3P7 Canada,(604) 715-0895,/Facility/Details/ade3d961-3b41-42a8-9e49-6c59127f7227
Blenz Coffee - Oakridge,Food Service Establishment 1,Vancouver - South,#618-650 W 41st Ave Vancouver BC V5Z 2M9 Canada,(604) 569-1131,/Facility/Details/3ddba377-96ed-4655-bcf9-33a9f3cdd76f
Blenz Coffee - Richmond Centre,Food Service Establishment 1,Richmond,1832-6060 Minoru Boulevard Richmond BC V6Y 2V7 Canada,(604) 726-7669,/Facility/Details/6a7d304d-6513-498f-8018-57eb578f56df
Blenz Coffee - Robson,Food Service Establishment 1,Vancouver - City Centre,1615 Robson Vancouver BC V6G 1C8 Canada,604-662-5369,/Facility/Details/57808fb9-f2b2-4123-a637-16184661c278
Blenz Coffee - Seymour,Food Service Establishment 1,Vancouver - City Centre,767 Seymour Vancouver BC V6B 5J3 Canada,604-633-0144,/Facility/Details/4ec28820-963f-425f-8b67-03fd4a230bd3
Blenz Coffee - South Granville,Food Service Establishment 1,Vancouver - City Centre,2506 Granville St Vancouver BC V6H 3G8 Canada,(604) 785-3729,/Facility/Details/981a05c2-0497-4a4b-9364-198be1cea74d
Blenz Coffee - Steveston,Food Service Establishment 1,Richmond,105-3900 Bayview Street Richmond BC V7E 4R7 Canada,(604) 363-0403,/Facility/Details/eed8c7cc-65f8-4488-a1ef-545ffad42eb4
Blenz Coffee - Thurlow,Food Service Establishment 1,Vancouver - City Centre,708 Thurlow Vancouver BC V6E 1V8 Canada,604-800-9708,/Facility/Details/f30845fa-e99c-4467-832d-ddbd05dfcbf2
Blenz Coffee - UBC,Food Service Establishment 1,Vancouver - Westside,5784 University Blvd Vancouver BC V6T 1K6 Canada,(604) 222-5100,/Facility/Details/b09b0610-4423-418a-93d0-8dd140007281
Blenz Coffee - Waterfront,Food Service Establishment 1,Vancouver - City Centre,232 Howe St Vancouver BC V6C 3R9 Canada,(604) 683-2378,/Facility/Details/4cd10c9d-e510-48c9-978a-45694b245875
Blenz Coffee - West Hastings,Food Service Establishment 1,Vancouver - City Centre,508 Hastings St W Vancouver BC V6B 1L8 Canada,(604) 689-1431,/Facility/Details/d101948a-03d0-4d82-a093-23a6a621f4d3
Blenz Coffee - Yaletown,Food Service Establishment 1,Vancouver - City Centre,338 Helmcken St Vancouver BC V6B 6G9 Canada,604-609-2768,/Facility/Details/3e788f78-b948-48d7-86e3-262bb886cee6
Blenz Coffee Ackroyd Plaza,Food Service Establishment 1,Richmond,60-8100 Ackroyd Road Richmond BC V6X 3K2 Canada,(604) 247-0600,/Facility/Details/34995e2b-6b8f-4a9b-83ff-b39f46bb696a
Blenz Coffee Lonsdale,Food Service Establishment 1,City of North Vancouver,1457 Lonsdale Avenue North Vancouver BC V7M 2H9 Canada,604-983-2548,/Facility/Details/636d4ffd-2c2e-45d8-af16-f894ed361d43
Blenz Coffee Park Royal,Food Service Establishment 1,District of West Vancouver,FC9-2002 Park Royal S West Vancouver BC V7T 2W4 Canada,(604) 922-0099,/Facility/Details/0f1e37ca-181a-4ac8-a367-c802919d5474
Blenz Coffee Seafair,Food Service Establishment 1,Richmond,6-8751 No. 1 Road Richmond BC V7C 1V2 Canada,(604) 285-8699,/Facility/Details/5e44894b-e91f-45b8-bf4e-e2e73b594ec4
Blenz The Canadian Coffee Company,Food Service Establishment 1,Vancouver - Westside,3381 Wesbrook Mall Vancouver BC V6S 0B1 Canada,604-568-2660,/Facility/Details/6caaa1ad-4390-4a1f-908e-8e4fc02dc9c2
Blondy's Coffee,Food Service Establishment 1,Vancouver - City Centre,1705 W 4th Ave Vancouver BC V6J 1M2 Canada,(604) 732-4561,/Facility/Details/a888f546-7bc4-45f0-82b5-654c0856fe07
Blossom Market,Retail Food Store,Vancouver - Downtown Eastside,2091 Commercial Vancouver BC V5N 4B1 Canada,604-254-2424,/Facility/Details/d2430ce5-83ac-4094-bdd4-fd61a8e0b609
Blowfish Sushi,Food Service Establishment 1,Vancouver - North East,#107-2828 Hastings St E Vancouver BC V5K 5C5 Canada,(604) 258-7500,/Facility/Details/47e362c7-7204-4ad2-b622-ebc203407690
Blu Capsicum,Food Service Establishment 1,Vancouver - Downtown Eastside,2nd Fl - 177 Robson St Vancouver BC V6B 0M3 Canada,(604) 338-3451,/Facility/Details/bb7820c7-c0f5-4354-8a41-5d9db617f869
Blue Angel,Retail Food Store,Vancouver - City Centre,520 Pender W Vancouver BC V6B 1V3 Canada,604-696-6865,/Facility/Details/955c3ed9-31f6-44ee-8e3b-4d511a20381d
Blue Boy Gift Shop,Retail Food Store,Vancouver - South,725 Marine SE Vancouver BC V5X 2T9 Canada,604-324-1023,/Facility/Details/88155383-9c50-11d3-baa9-005004ae1145
Blue Canoe Waterfront Restaurant,Food Service Establishment 1,Richmond,140-3866 Bayview Street Richmond BC V7E 4R7 Canada,(604) 275-7811,/Facility/Details/169122ab-3e38-4dba-b0fa-37ef47d44c8e
Blue Duck Cafe,Food Service Establishment 1,Richmond,2118-20800 Westminster Highway Richmond BC V6V 2W3 Canada,(604) 303-7740,/Facility/Details/05767a74-4dcf-435a-9b33-b122f3ff056a
Blue Edge Cafe,Food Service Establishment 1,Vancouver - City Centre,#180-510 Nicola St Vancouver BC V6G 3J7 Canada,(604) 379-8184,/Facility/Details/b89a8f91-3c06-4586-9a19-45a82b5b5320
Blue Fugu,Food Service Establishment 1,Vancouver - Downtown Eastside,#2027-88 W Pender St Vancouver BC V6B 6N9 Canada,(604) 558-0881,/Facility/Details/b89cbe4d-32ed-49a8-98a6-f428b57469b0
Blue Goose Cattle Company,Processor,District of North Vancouver,123--1305 Welch Street North Vancouver BC V7P 1B3 Canada,604-980-9106,/Facility/Details/4b16aa43-101e-4de3-a577-3aeedcb1f04e
Blue Heron Inn,Food Service Establishment 1,Sechelt,E Porpoise Bay Rd Sechelt BC V0N Canada,(604) 885-3847,/Facility/Details/69486413-2a1d-4c84-b8bc-c81fa8982dc4
Blue Horizon Hotel - Abode Restaurant,Food Service Establishment 1,Vancouver - City Centre,1225 Robson St Vancouver BC V6E 1C3 Canada,(604) 688-1411,/Facility/Details/31e02cb6-8412-464a-80f1-7586a5aaef0e
Blue Horizon Hotel - Shenanigan's Kitchen,Food Service Establishment 1,Vancouver - City Centre,1225 Robson St Vancouver BC V6E 1C3 Canada,(604) 688-1411,/Facility/Details/16d04275-7d08-47d1-810e-f9715d843331
Blue Horizon Hotel - Shenanigan's Pub,Food Service Establishment 1,Vancouver - City Centre,1225 Robson St Vancouver BC V6E 1C3 Canada,(604) 688-1411,/Facility/Details/09141548-3f8b-4bdb-977d-5ab7db5d2231
Blue Martini Restaurant Ltd.,Food Service Establishment 1,Vancouver - Westside,1516 Yew St Vancouver BC V6K 3E4 Canada,(604) 428-2691,/Facility/Details/b8b0ce16-65bc-4419-bf83-d71505b04042
Blue Note Catering,Mobile Food Service (Type 3),City of North Vancouver,18 Orwell St North Vancouver BC V7J 2G1 Canada,(778) 883-4304,/Facility/Details/e175883a-3d10-45ac-ae13-fd60a99837d2
Blue Ocean Golf Club,Food Service Establishment 1,Sechelt,6177 Ripple Way Sechelt BC V0N 3A5 Canada,(604) 885-2700,/Facility/Details/068b545c-aa1b-455e-9e8c-c75c251130c3
Blue Parrot Coffee Bar,Food Service Establishment 1,Vancouver - City Centre,#108-1689 Johnston St Vancouver BC V6H 3R9 Canada,(604) 688-5127,/Facility/Details/ff5bd5f4-9bb1-11d3-baa8-005004ae1145
Blue Parrot Coffee Hillcrest,Food Service Establishment 1,Vancouver - Midtown,4575 Clancy Loranger Way Vancouver BC V5Y 2M4 Canada,604-879-3301,/Facility/Details/bf9eef7e-225f-47fd-a1b2-f29c8ff2bfc0
Blue Parrot Coffee Inc -Mobile,Mobile Food Service (Type 2),Vancouver - Midtown,4575 Clancy Loranger Way Vancouver BC V5Y 2M4 Canada,(604) 688-5127,/Facility/Details/1757aeec-fcf8-415e-add1-98daa19c765b
Blue Parrot Coffee Inc. Commissary,Processor,Vancouver - Midtown,4575 Clancy Loranger Way Vancouver BC V5Y 2M4 Canada,604-688-5127,/Facility/Details/e5b237cf-f86b-4dc0-86a9-8fc25b157eb6
Blue Plate Cafe & Catering,Food Service Establishment 1,Richmond,110-1211 Valmont Way Richmond BC V6V 1Y3 Canada,(604) 278-0800,/Facility/Details/ef187d84-ec42-4d62-b5d4-a15444b4154e
Blue Seas Fish Market,Food Service Establishment 1,City of North Vancouver,2011 Lonsdale Avenue North Vancouver BC V7M 2K4 Canada,(604) 983-3474,/Facility/Details/7ae4ee9f-2f6a-41b4-88cc-a31bd3cc66f5
Blue Sky Japanese Bistro,Food Service Establishment 1,Vancouver - Westside,1815 W 1st Ave Vancouver BC V6J 5B8 Canada,(604) 734-5858,/Facility/Details/1cd1c597-1645-4d96-8d81-1705e0e678cf
Blue Teapot,Retail Food Store,City of North Vancouver,105-123 Carrie Cates Court North Vancouver BC Canada,604-986-4321,/Facility/Details/728e0e72-0d34-43d9-83ca-7bbe51928e77
Blue Water Cafe,Food Service Establishment 1,Vancouver - City Centre,1095 Hamilton St Vancouver BC V6B 5T4 Canada,(604) 688-8078,/Facility/Details/5ce77ff5-2540-43aa-bc7d-95a4134f84e4
Blue Water Cafe - Ocean Room,Food Service Establishment 1,Vancouver - City Centre,1091 Hamilton St Vancouver BC V5B 5T4 Canada,(604) 688-8078,/Facility/Details/633744d8-7f23-4d73-860b-afbc605da07e
Bluebird Cakery,Processor,Vancouver - Midtown,110-2955 Virtual Way Vancouver BC V5M 4X3 Canada,(604) 352-8232,/Facility/Details/f8994957-d572-4b94-bae4-65882f420120
Bluebird Provisions Inc.,Processor,Vancouver - Downtown Eastside,686 Powell St Vancouver BC V6A 3G1 Canada,(604) 787-3892,/Facility/Details/23f91014-792f-4d43-8dd2-76336cb89136
Bluebird Snack Shop,Retail Food Store,Vancouver - City Centre,895 W 10th Ave Vancouver BC V5Z 1L7 Canada,,/Facility/Details/18f694f7-6202-4db6-9e2d-d6b39464c48b
Bluhouse Cafe,Food Service Establishment 1,District of North Vancouver,4342 Gallant Avenue North Vancouver BC V7G 1K8 Canada,778-340-6667,/Facility/Details/0c981a43-2b5e-48ca-b6dd-3dc33289338f
